gender,year,x,qx,lx,dx,Lx,Tx,ex
Male,1900,0,0.14596,100,14,90,4,46.41
Male,1900,1,0.03814,85,3,83,4,53.28
Male,1900,2,0.01958,82,1,81,4,54.38
Male,1900,3,0.01353,80,1,79,4,54.45
Male,1900,4,0.0108,79,858,79,4,54.19
Male,1900,5,0.00794,78,624,78,4,53.78
Male,1900,6,0.0057,77,444,77,4,53.2
Male,1900,7,0.00407,77,316,77,4,52.51
Male,1900,8,0.00305,77,235,77,3,51.72
Male,1900,9,0.00256,76,197,76,3,50.87
Male,1900,10,0.00248,76,191,76,3,50
Male,1900,11,0.00267,76,204,76,3,49.13
Male,1900,12,0.00294,76,224,76,3,48.26
Male,1900,13,0.00315,76,240,76,3,47.4
Male,1900,14,0.00336,75,255,75,3,46.55
Male,1900,15,0.00367,75,278,75,3,45.7
Male,1900,16,0.00415,75,313,75,3,44.87
Male,1900,17,0.00468,75,351,74,3,44.05
Male,1900,18,0.00523,74,391,74,3,43.26
Male,1900,19,0.0058,74,431,74,3,42.48
Male,1900,20,0.00642,73,474,73,3,41.73
Male,1900,21,0.00702,73,516,73,3,40.99
Male,1900,22,0.00745,72,543,72,2,40.28
Male,1900,23,0.00762,72,551,72,2,39.58
Male,1900,24,0.00761,71,546,71,2,38.88
Male,1900,25,0.00753,71,536,70,2,38.17
Male,1900,26,0.0075,70,530,70,2,37.46
Male,1900,27,0.00756,70,530,69,2,36.74
Male,1900,28,0.00776,69,540,69,2,36.01
Male,1900,29,0.00806,69,557,68,2,35.29
Male,1900,30,0.00838,68,575,68,2,34.57
Male,1900,31,0.00867,67,590,67,2,33.86
Male,1900,32,0.00894,67,602,67,2,33.15
Male,1900,33,0.00917,66,613,66,2,32.45
Male,1900,34,0.00938,66,621,65,2,31.74
Male,1900,35,0.0096,65,630,65,2,31.04
Male,1900,36,0.00985,64,639,64,1,30.34
Male,1900,37,0.01008,64,648,63,1,29.63
Male,1900,38,0.01029,63,655,63,1,28.93
Male,1900,39,0.01051,63,662,62,1,28.22
Male,1900,40,0.01074,62,670,62,1,27.52
Male,1900,41,0.01102,61,679,61,1,26.81
Male,1900,42,0.01134,60,691,60,1,26.11
Male,1900,43,0.01172,60,707,59,1,25.4
Male,1900,44,0.01217,59,725,59,1,24.69
Male,1900,45,0.01268,58,746,58,1,23.99
Male,1900,46,0.01324,58,769,57,1,23.29
Male,1900,47,0.01383,57,793,56,1,22.6
Male,1900,48,0.01446,56,818,56,1,21.91
Male,1900,49,0.01515,55,844,55,1,21.22
Male,1900,50,0.01589,54,872,54,1,20.54
Male,1900,51,0.01673,54,904,53,1,19.87
Male,1900,52,0.01771,53,941,52,1,19.2
Male,1900,53,0.01884,52,983,51,966,18.53
Male,1900,54,0.02011,51,1,50,915,17.88
Male,1900,55,0.02154,50,1,49,864,17.24
Male,1900,56,0.02307,49,1,48,814,16.6
Male,1900,57,0.02459,47,1,47,766,15.98
Male,1900,58,0.02609,46,1,46,719,15.37
Male,1900,59,0.02762,45,1,44,672,14.77
Male,1900,60,0.0293,44,1,43,628,14.18
Male,1900,61,0.03123,42,1,42,584,13.59
Male,1900,62,0.0334,41,1,40,542,13.01
